iter	Passed	Remaining
649	32060	17263
650	32105	17211
651	32150	17160
652	32196	17108
653	32239	17056
654	32284	17004
655	32330	16953
656	32373	16901
657	32418	16849
658	32466	16800
659	32513	16749
660	32559	16698
661	32603	16646
662	32648	16594
663	32693	16543
664	32739	16492
665	32785	16441
666	32833	16392
667	32875	16339
668	32920	16287
669	32969	16238
670	33028	16194
671	33086	16149
672	33141	16103
673	33204	16060
674	33265	16016
675	33323	15971
676	33387	15929
677	33440	15881
678	33483	15829
679	33527	15777
680	33569	15724
681	33615	15673
682	33652	15619
683	33696	15567
684	33738	15514
685	33785	15464
686	33835	15415
687	33888	15368
688	33936	15318
689	33980	15266
690	34028	15216
691	34070	15164
692	34113	15112
693	34160	15061
694	34199	15008
695	34249	14959
696	34295	14908
697	34336	14856
698	34381	14805
699	34431	14756
700	34490	14711
701	34546	14665
702	34601	14618
703	34655	14571
704	34708	14523
705	34760	14475
706	34821	14430
707	34880	14385
708	34932	14337
709	34977	14286
710	35023	14236
711	35069	14185
712	35111	14133
713	35159	14083
714	35205	14033
715	35249	13981
716	35294	13930
717	35340	13880
718	35386	13829
719	35432	13779
720	35477	13728
721	35522	13677
722	35566	13626
723	35611	13575
724	35654	13524
725	35696	13472
726	35739	13420
727	35784	13370
728	35826	13318
729	35869	13266
730	35914	13216
731	35967	13168
732	36027	13123
733	36088	13078
734	36145	13032
735	36201	12985
736	36249	12935
737	36298	12886
738	36355	12839
739	36410	12792
740	36456	12742
741	36499	12691
742	36541	12639
743	36586	12588
744	36629	12537
745	36676	12487
746	36723	12437
747	36770	12387
748	36811	12336
749	36879	12293
750	36948	12250
751	37023	12209
752	37065	12158
753	37111	12108
754	37152	12056
755	37198	12005
756	37240	11954
757	37283	11903
758	37329	11852
759	37378	11803
760	37427	11754
761	37486	11708
762	37547	11662
763	37602	11615
764	37648	11565
765	37701	11517
766	37763	11471
767	37825	11426
768	37879	11378
769	37943	11333
770	37989	11283
771	38037	11233
772	38078	11182
773	38123	11131
774	38168	11081
775	38210	11029
776	38253	10978
777	38298	10928
778	38341	10877
779	38387	10827
780	38432	10776
781	38486	10728
782	38530	10678
783	38574	10627
784	38619	10577
785	38665	10527
786	38705	10475
787	38753	10426
788	38801	10376
789	38846	10326
790	38892	10276
791	38938	10226
792	38991	10178
793	39050	10131
794	39111	10085
795	39169	10038
796	39229	9991
797	39283	9944
798	39334	9895
799	39394	9848
800	39452	9801
801	39502	9752
